Day,Artist(s),Album,Record label(s),Entering chart position,Month,Ref.
1,03 Greedo,2025: The Streetz is Over Wiit,Self-released[13],,January,
1,Duwap Kaine,Nobody Is Coming To Save You,TAF[14],,January,
3,Boldy James & RichGains,Murder During Drug Traffic,Self-released[15],,January,
3,Jon Connor,Food for the Soul,Self-released[16],,January,
3,Lil Baby,WHAM,Quality Control Music[17],Debuted at No. 1 on the Billboard 200,January,
3,Various artists,Death Row Revue,"Death Row Records, Gamma[16]",,January,
5,Bad Bunny,Debí Tirar Más Fotos,Rimas[18],Debuted at No. 2 on the Billboard 200,January,
8,Ransom,Cabrini Green,"Black Soprano Family, Momentum[19]",,January,
10,Diamond D,The Diam Piece 3: Duo,Dymond Mine Records[20],,January,
10,Rilès,Survival Mode,Self-released[21],,January,
10,Rio da Yung OG,Rio Free,#Boyz[22],Debuted at No. 157 on the Billboard 200,January,
10,Skiifall,Lovers Till I'm Gone,Self-released[23],,January,
10,The Heatmakerz,The Anti-Social Experiment,Self-released[19],,January,
10,Ziak,Essonne History X,"Errro, Chrome Castle[24]",,January,
11,Wiley,Boom Bap Vol 4,Self-released[25],,January,
17,Busta Rhymes,Dragon Season... The Awakening,Conglomerate[26],,January,
17,Logic,Aquarius III,BMG Rights Management[27],,January,
17,Mac Miller,Balloonerism,Warner[28],Debuted at No. 3 on the Billboard 200,January,
17,Mick Jenkins,Type Shit,Self-released[29],,January,
17,Myss Keta,Myss Keta,"Island Records, Universal Music Italia[30]",,January,
17,OMB Peezy,Drifting Away,"Overkill, Hitmaker[19]",,January,
17,Philthy Rich,"Real, Rich & Respected",FOD[19],,January,
17,Riff Raff,Welcome to Shaolin,"Castles of Chrome, Black 17[19]",,January,
17,Verbal Jint,Happy End,Otherside[31],,January,
17,Wu-Syndicate,Wu-Rona Virus,Self-released[32],,January,
21,YGTUT,Wash My Hands,The House[33],,January,
22,24hrs & King Kobi,24hrs on Saturn,NORP[34],,January,
23,Da Uzi,Original Gangsta,Warner France[35],,January,
23,Zillionaire Doe,D Boi Dreams,"CMG, Interscope[36]",,January,
24,Boldy James,Permanent Ink,Royal House[37],,January,
24,Central Cee,Can't Rush Greatness,Columbia[38],Debuted at No. 1 on the UK Albums Chart Debuted at No. 9 on the Billboard 200,January,
24,Ghais Guevara,Goyard Ibn Said,Fat Possum[39],,January,
24,Homeboy Sandman,Rich 2.5,Dirty Looks[40],,January,
24,Hunxho,For Us,300[41],,January,
24,Jeshi,Airbag Woke Me Up,Because[42],,January,
24,Jordan Adetunji,A Jaguar's Dream,"300 Entertainment, Warner UK[43]",,January,
24,Krizbeatz,Daddy Daycare,"Streets Legend, ONErpm[44]",,January,
24,Moka Only & Reckonize Real,More Vibes & B-Sides,Real Deff[35],,January,
24,OsamaSon,Jump Out,"Atlantic Records, Motion Music[45]",Debuted at No. 151 on the Billboard 200,January,
24,Uncle Murda,Murda He Wrote,"ATM, Empire[33]",,January,
24,Young Franco,It's Franky Baby!,Neon[46],,January,
24,Youssoupha,Amour Supreme,"99 Revolution, AllPoints[47][non-primary source needed]",,January,
27,Pink Siifu,Black'!Antique,Dynamite Hill[48],,January,
30,Young Dro & Zaytoven,10 Piece Hot,Grand Hustle[49],,January,
31,BabyTron,Song Wars,"Hip Hop Lab, Empire[50]",,January,
31,Canibus,The Almighty Era V2: The Final Chapter,"Q&A Logistics, 1332 Records[51]",,January,
31,EST Gee,I Aint Feeling You,"CMG, Interscope[52]",Debuted at No. 97 on the Billboard 200,January,
31,Iniko,The Awakening,"Columbia, Audio Angel[53]",,January,
31,Madrox,More Music You Don't Wanna Hear From Someone You Barely Like,Majik Ninja Entertainment[54],,January,
31,Madvillain,Madvillainy Demos,Stones Throw[50],,January,
31,Mike,Showbiz!,10k[55],,January,
31,The Weeknd,Hurry Up Tomorrow,"XO, Republic[56]",Debuted at No. 1 on the Billboard 200,January,
31,V Don,Sent For,"Black Soprano Family, Roc Nation Distribution[53]",,January,
4.0,Nino Paid,Love Me As I Am,"Signal, Columbia[57]",,February,
7.0,Krept and Konan,Young Kingz II,Play Dirty[58],,February,
7.0,"Larry June, 2 Chainz & The Alchemist",Life is Beautiful,"The Freeminded Records, ALC Records, Empire[59]",,February,
7.0,Montana 700,700 Reasons,"Remain Solid, 300 Entertainment[60]",,February,
7.0,Robb Banks,Tha Leak 3,Self-released[61],,February,
7.0,Soulja Boy,The Influence,SODMG[61],,February,
7.0,Sy Ari da Kid,The Last Shadow In The Shade,"No I In Team Records, Cinq Music Group[61]",,February,
7.0,Tyga,NSFW,Last Kings[62],,February,
7.0,ZelooperZ & Real Bad Man,Dear Psilocybin,Real Bad Man Records[63],,February,
12.0,A$AP Twelvyy,I Did More With Less (V1),Two Twelve Technologies[64],,February,
12.0,Capella Grey,U Miss Me Yet?,"Allepac the Family, 10K Projects[64]",,February,
12.0,P-Lo,For the Soil,"Everywhere Like Air, Golden State Entertainment, Empire[65]",,February,
13.0,Black Milk & Fat Ray,Food from the Gods,Computer Ugly[64],,February,
14.0,Bartees Strange,Horror,4AD[66],,February,
14.0,Brother Ali,Satisfied Soul,Mello Music Group[67],,February,
14.0,D. Savage,We Love D. Savage,Empire[64],,February,
14.0,Drake & PartyNextDoor,Some Sexy Songs 4 U,"OVO Sound, Republic Records[68]",,February,
14.0,Dro Kenji,Love Kills,10K Projects[69],,February,
14.0,Jacquees & DeJ Loaf,Fuck A Friendzone 2,"Yellow World, FYB Records[70]",,February,
14.0,John Glacier,Like A Ribbon,Young[71],,February,
14.0,OhGeesy,Paid N Full,Atlantic[72],,February,
14.0,They.,Love.Jones,Drink Sum Wtr[73],,February,
14.0,Westside Gunn,12,Griselda Records[74],,February,
,Yung Bleu,What Makes Us Human,Moon Boy Music[64],,February,
17,Eem Triplin,Melody of a Memory,RCA,,February,[69]
21,Morray,Long Story Short,Empire,,February,[75]
21,Ransom & Dave East,The Final Call,"FTD, Momentum",,February,[61]
21,Roddy Ricch,The Navy Album,Atlantic Records,,February,[76]
21,Saint Jhn,Festival Season,Godd Complexx,,February,[77]
21,Smif-n-Wessun,Infinity,"Bucktown USA, Duck Down Music",,February,[78]
28,DeeBaby,Ms. Salazar,"Already Platinum, Create Music Group",,February,[79]
28,G-Eazy,Helium,RCA,,February,[80]
28,Jim Jones,At the Church Steps,Hitmaker Music Group,,February,[69]
28,Lisa,Alter Ego,"Lloud, RCA",,February,[81]
28,Reason,I Love You Again,"Do More Records, 195 Oak",,February,[82]
TBA,Key Glock,Glockaveli,Paper Route Empire,,February,[83]
TBA,Lil Baby,Dominique,Quality Control Music,,February,[84]
7,Capo Lee & Big Zuu,Signed & Delivered,Legacy Living,,March,[85]
7,De La Soul,Clear Lake Audiotorium (Re-release),Chrysalis Records,,March,[86]
7,Lil Durk,Deep Thoughts,Alamo,,March,[87]
7,Tokimonsta,Eternal Reverie,Young Art,,March,[88]
14,Clipping,Dead Channel Sky,Sub Pop,,March,[89]
21,Goya Gumbani,Warlord of the Weejuns,Ghostly International,,March,[90]
28,Busta Rhymes,Dragon Season,Conglomerate,,March,[91]
28,Yasiin Bey & The Alchemist,Forensics,TBA,,March,[92]
4,Infinity Knives & Brian Ennals,A City Drowned in God's Black Tears,Self-released,,April,[93][non-primary source needed]
11,Bliss n Eso,The Moon (The Light Side),"Flight Deck, Mushroom",,April,[94]
12,Wu-Tang Clan & Mathematics,"Black Samson, The Bastard Swordsman",Ruffnation Entertainment,,April,[95]
25,Fly Anakin,(The) Forever Dream,Lex Records,,April,[96]
TBA,Travis Scott,TBA,"Cactus Jack, Epic",,April,[97]
6,Lil Wayne,Tha Carter VI,"Young Money Entertainment, Republic Records",,June,[98]
15,Kanye West,Bully,Self-released,,June,[99]
,André 3000,TBA,TBA,,UnscheduledandTBA,[100]
,Anuel AA & Ozuna,Los Dioses 2,"Real Hasta la Muerte, Aura Music",,UnscheduledandTBA,[101]
,A$AP Rocky,Don't Be Dumb,"AWGE, Polo Grounds",,UnscheduledandTBA,[102]
,Baby Keem,Child with Wolves,"PGLang, Columbia Records",,UnscheduledandTBA,[103]
,B.G.,Heart of the Streets 3,Chopper Brick Records,,UnscheduledandTBA,[104]
,Big Sean & The Alchemist,TBA,TBA,,UnscheduledandTBA,[105]
,Boosie Badazz & B.G.,TBA,TBA,,UnscheduledandTBA,[106]
,Burna Boy,No Sign of Weakness,"Spaceship, Bad Habit, Atlantic",,UnscheduledandTBA,[107]
,Cardi B,TBA,TBA,,UnscheduledandTBA,[108]
,Chance the Rapper,Star Line Gallery,Self-released,,UnscheduledandTBA,[109]
,Clipse,Let God Sort Em Out,Def Jam,,UnscheduledandTBA,[110]
,Conway the Machine & J.U.S.T.I.C.E. League,TBA,Empire Distribution,,UnscheduledandTBA,[111]
,Coolio,Long Live Coolio,Tommy Boy Records,,UnscheduledandTBA,[112][needs update]
,Damon Dash & Freeway,365,TBA,,UnscheduledandTBA,[113]
,Denzel Curry,Unlocked 2.0,"PH Recordings, Loma Vista",,UnscheduledandTBA,[114][needs update]
,Denzel Curry,Designed By Angels,"PH Recordings, Loma Vista",,UnscheduledandTBA,[115][needs update]
,DJ Khaled,Aalam of God,"We The Best Music, Def Jam Recordings",,UnscheduledandTBA,[116]
,DJ Premier & Roc Marciano,TBA,TBA,,UnscheduledandTBA,[117]
,DJ Quik,TBA,Ingrooves,,UnscheduledandTBA,[118]
,DMC,TBA,TBA,,UnscheduledandTBA,[119]
,Doechii,TBA,TDE,,UnscheduledandTBA,[120]
,Dres & J Dilla,TBA,Stones Throw,,UnscheduledandTBA,[121]
,E-40,Rule of Thumb: Rule 2,Heavy On The Grind Entertainment,,UnscheduledandTBA,[122]
,Fabolous,SOUL Tape 4,"Def Jam Recordings, Roc Nation",,UnscheduledandTBA,[123]
,Flipmode Squad,TBA,TBA,,UnscheduledandTBA,[124]
,Freddie Gibbs & Madlib,Montana,TBA,,UnscheduledandTBA,[125]
,Griselda,WWCD 2,Griselda Records,,UnscheduledandTBA,[126]
,Hot Boys,TBA,Cash Money Records,,UnscheduledandTBA,[127]
,J. Cole,The Fall Off,Dreamville,,UnscheduledandTBA,[128]
,Ja Rule,TBA,"M-PIRE Records, Def Jam Records",,UnscheduledandTBA,[129]
,Jadakiss,TBA,"SoRaspy, Roc Nation, Def Jam",,UnscheduledandTBA,[130]
,Jay Rock,Eastside Johnny,"Top Dawg Entertainment, Interscope Records",,UnscheduledandTBA,[131]
,JID,Forever & A Day,Dreamville,,UnscheduledandTBA,[132]
,JID & Metro Boomin,JIDTRO,"Dreamville, Boominati Worldwide",,UnscheduledandTBA,[133]
,Jim Jones,TBA,Hitmaker Music Group,,UnscheduledandTBA,[134]
,Juelz Santana & DJ Drama,We In Motion,"Def Jam Recordings, Diplomat Records, Generation Now, MNRK Music Group",,UnscheduledandTBA,[135]
,Juicy J & BeatKing,Ratchet P,TBA,,UnscheduledandTBA,[136]
,Ken Carson,More Chaos,Opium,,UnscheduledandTBA,[137]
,Kid Cudi,The Soundtrack of Moon Man,"Wicked Awesome, Republic",,UnscheduledandTBA,[138]
,K.O,I Think You Spoke Too Soon,"Sony Music Entertainment Africa, Skhanda Republic",,UnscheduledandTBA,[139]
,KSI,Caught In Two Minds,"Atlantic, Warner",,UnscheduledandTBA,[140]
,Leikeli47,Lei Keli ft. 47 / For Promotional Use Only,"Acrylic, Hardcover, Thirty Tigers",,UnscheduledandTBA,[141]
,Lil Baby & Young Thug,TBA,"Glass Window, Wolfpack, Quality Control, Motown, YSL, 300, Atlantic",,UnscheduledandTBA,[142]
,Lil Nas X,TBA,Columbia,,UnscheduledandTBA,[143]
,Logic,Phonkadelic,"BobbyBoy Records, Three Oh One Productions, BMG",,UnscheduledandTBA,[144]
,Logic & Juicy J,Live and In Color,"Trippy Music, BobbyBoy Records",,UnscheduledandTBA,[145]
,Ludacris,TBA,"Disturbing Tha Peace, Def Jam Recordings",,UnscheduledandTBA,[146]
,Mac Miller & Madlib,Maclib,"Stones Throw, Rostrum",,UnscheduledandTBA,[147]
,Mach-Hommy & Conductor Williams,TBA,TBA,,UnscheduledandTBA,[148]
,Meek Mill,Dream Chasers Vol. 1: La Familia,"Dream Chasers Records, Atlantic Records",,UnscheduledandTBA,[149]
,Mike Will Made It,R3SET,Eardrummers Records,,UnscheduledandTBA,[150]
,Mobb Deep,TBA,TBA,,UnscheduledandTBA,[151]
,Nas & DJ Premier,TBA,Mass Appeal,,UnscheduledandTBA,[152]
,Nav,On My Way 2 Rexdale,"XO, Republic",,UnscheduledandTBA,[153]
,Nelly,TBA,"Derrty, Motown Records",,UnscheduledandTBA,[154]
,N.E.R.D.,TBA,I Am Other,,UnscheduledandTBA,[155]
,Nicki Minaj,Pink Friday 3,Young Money,,UnscheduledandTBA,[156]
,Offset,Kiari,Motown Records,,UnscheduledandTBA,[157]
,Pharoahe Monch,External Affairs,TBA,,UnscheduledandTBA,[158]
,Playboi Carti,I Am Music,"AWGE, Interscope Records",,UnscheduledandTBA,[159]
,Project Pat & Juicy J,Them Goats,TBA,,UnscheduledandTBA,[136]
,Pusha T & DJ Drama,TBA,Heir Wave Music,,UnscheduledandTBA,[160]
,Rick Ross,Champagne Moments,"Maybach Music Group, Def Jam Recordings",,UnscheduledandTBA,[161]
,Remy Ma,TBA,TBA,,UnscheduledandTBA,[162]
,Run the Jewels,Run the Jewels 5,"Jewel Runners, BMG",,UnscheduledandTBA,[163][needs update]
,Russ,Chomp 3,Diemon Records,,UnscheduledandTBA,[164]
,Saba & No I.D.,From the Private Collection of Saba & No I.D.,ARTium,,UnscheduledandTBA,[165]
,Saweetie,Pretty Bitch Music,"Artistry, Warner",,UnscheduledandTBA,[166]
,ScarLip,Scars and Stripes,Epic Records,,UnscheduledandTBA,[167]
,Skepta,Knife and Fork,Boy Better Know,,UnscheduledandTBA,[168]
,Slick Rick,TBA,Def Jam Recordings,,UnscheduledandTBA,[169]
,Smino,She Always Dancing,"Zero Fatigue, Motown",,UnscheduledandTBA,[170]
,Snoop Dogg & Dave East,TBA,Death Row,,UnscheduledandTBA,[171]
,Styles P & Black Thought,TBA,"D-Block, Def Jam Recordings",,UnscheduledandTBA,[172]
,Sylvan LaCue,Nobody's Coming to Save You,LaCue Enterprises,,UnscheduledandTBA,[173]
,Takeoff,TBA,"Quality Control Music, Motown Records",,UnscheduledandTBA,[174][needs update]
,Tay-K,TBA,TBA,,UnscheduledandTBA,[175]
,The D.O.C.,TBA,Death Row Records,,UnscheduledandTBA,[176]
,The Lox,TBA,"D-Block, Ruff Ryders",,UnscheduledandTBA,[177]
,The Roots,TBA,TBA,,UnscheduledandTBA,[178]
,T.I.,Kill the King,Grand Hustle Records,,UnscheduledandTBA,[179]
,T.I.,Kiss the King,Grand Hustle Records,,UnscheduledandTBA,[179]
,Trae tha Truth,Angel,Self-released,,UnscheduledandTBA,[180]
,Treach,TBA,"Tommy Boy, Arista",,UnscheduledandTBA,[181]
,Westside Gunn,Flygod Is An Awesome God III,Griselda Records,,UnscheduledandTBA,[182]
,Will Smith,Dance In Your Darkest Moments,"Interscope Records, Columbia Records, RCA Records",,UnscheduledandTBA,[183]
,Wiz Khalifa,Wizzlemania,"Taylor Gang, Asylum Records",,UnscheduledandTBA,[184]
,Wiz Khalifa,Kush & O.J. 2,"Taylor Gang, Asylum Records",,UnscheduledandTBA,[185]
,Xzibit,Kingmaker,Greenback Records,,UnscheduledandTBA,[186]
,Your Old Droog & Madlib,TBA,Madlib Invazion,,UnscheduledandTBA,[187]
,Yung Lean,Jonatan,World Affairs,,UnscheduledandTBA,[188]
,Yung Miami,Yams,"Quality Control Music, Motown Records",,UnscheduledandTBA,[189]
